Tesla,Resistance
0.01,0.079
0.01,0.173
0.01,0.270
0.00,0.293
-0.00,0.266
-0.00,0.240
0.01,0.249
0.01,0.259
0.01,0.235
0.01,0.263
0.01,0.277
0.01,0.270
0.01,0.220
-0.00,0.206
0.01,0.229
0.01,0.263
0.01,0.217
0.01,0.254
0.00,0.196
0.01,0.098
0.01,0.433
0.01,0.016
0.01,0.018
0.01,0.205
0.01,0.466
0.01,0.218
0.01,0.004
0.01,0.026
0.01,0.047
0.01,0.148
0.01,0.235
0.01,0.310
0.01,0.119
0.01,0.304
0.01,0.400
0.01,0.300
0.01,0.344
0.01,0.302
0.01,0.301
0.01,0.291
0.01,0.336
0.01,0.314
0.01,0.311
0.01,0.352
0.01,0.334
0.01,0.251
0.01,0.500
0.01,0.051
0.01,0.006
0.01,0.156
0.01,0.500
0.01,0.092
0.01,0.500
0.01,0.156
0.01,0.354
0.01,0.114
0.01,0.118
0.01,0.206
0.01,0.322
0.01,0.398
0.01,0.415
0.01,0.444
0.01,0.435
0.01,0.481
0.01,0.454
0.01,0.457
0.01,0.500
0.01,0.487
0.01,0.458
0.01,0.460
0.01,0.469
0.01,0.482
0.01,0.357
0.01,0.445
0.01,0.384
0.01,0.468
0.01,0.302
0.01,0.094
0.01,0.225
0.01,0.069
0.01,0.212
0.01,0.026
0.01,0.030
0.01,0.044
0.01,0.022
0.01,0.007
0.01,0.070
0.01,0.100
0.01,0.041
0.01,0.106
0.01,0.105
0.01,0.095
0.01,0.094
0.01,0.500
0.01,0.158
0.01,0.495
0.01,0.500
0.01,0.499
0.01,0.445
0.01,0.493
0.01,0.467
0.01,0.468
0.01,0.493
0.01,0.075
0.01,0.034
0.01,0.500
0.01,0.043
0.01,0.067
0.01,0.110
0.00,0.179
0.00,0.500
0.00,0.500
-0.00,0.478
-0.00,0.483
0.00,0.353
0.00,0.235
-0.00,0.248
-0.01,0.043
-0.01,0.446
-0.01,0.500
-0.02,0.452
-0.02,0.445
-0.02,0.376
0.01,0.500
0.01,0.333
0.01,0.405
0.01,0.396
0.01,0.500
0.01,0.448
0.01,0.454
0.01,0.468
0.01,0.493
0.01,0.006
0.01,0.117
0.01,0.149
0.01,0.500
0.01,0.048
0.01,0.332
0.01,0.496
0.01,0.238
0.01,0.022
0.01,0.023
0.01,0.050
0.01,0.388
0.01,0.081
0.01,0.404
0.01,0.431
0.01,0.226
0.01,0.412
0.01,0.160
0.01,0.058
0.01,0.211
0.01,0.250
0.01,0.079
0.01,0.109
0.01,0.482
0.01,0.309
0.02,0.471
0.03,0.455
0.03,0.370
0.04,0.496
0.03,0.479
0.05,0.448
0.06,0.448
0.07,0.500
0.07,0.492
0.07,0.466
-0.01,0.347
0.01,0.432
0.01,0.456
0.01,0.185
0.01,0.172
0.01,0.238
0.01,0.254
0.01,0.303
0.02,0.315
0.01,0.336
0.01,0.338
0.01,0.243
0.01,0.235
0.01,0.229
0.01,0.291
0.01,0.333
0.01,0.291
0.01,0.406
0.01,0.341
0.01,0.401
0.01,0.460
0.01,0.399
0.01,0.385
0.01,0.329
0.01,0.315
0.01,0.344
0.01,0.363
0.01,0.336
0.01,0.316
0.01,0.349
0.01,0.302
0.01,0.297
0.01,0.345
0.01,0.331
0.01,0.490
0.01,0.415
0.01,0.465
0.02,0.439
0.01,0.368
-0.01,0.412
0.00,0.416
0.01,0.419
0.01,0.402
0.01,0.368
0.01,0.418
0.01,0.414
0.01,0.465
0.01,0.416
0.00,0.387
0.00,0.369
0.00,0.385
0.00,0.419
-0.00,0.396
0.00,0.414
0.01,0.365
0.01,0.319
0.00,0.306
0.00,0.043
0.00,0.095
0.00,0.071
-0.00,0.038
-0.00,0.069
-0.01,0.065
-0.02,0.127
-0.01,0.479
-0.01,0.332
-0.00,0.078
-0.01,0.072
-0.00,0.152
-0.01,0.489
-0.00,0.077
0.00,0.069
-0.00,0.209
-0.00,0.080
-0.00,0.033
-0.00,0.101
-0.00,0.155
-0.00,0.159
-0.00,0.172
-0.00,0.123
