R,P
0.07,1.46
0.34,7.09
0.34,7.09
0.34,7.09
0.3,6.4
0.23,5.01
0.37,7.78
0.3,6.4
0.27,5.71
0.27,5.71
0.23,5.01
0.3,6.4
0.27,5.71
0.3,6.4
0.27,5.71
0.27,5.71
0.27,5.71
0.23,5.01
0.55,11.12
0.27,5.71
0.27,5.71
0.27,5.71
0.23,5.01
0.23,5.01
0.27,5.71
0.23,5.01
0.23,5.01
0.2,4.31
0.2,4.31
0.2,4.31
0.34,7.09
0.17,3.61
0.17,3.61
0.03,0.73
0.17,3.61
0.17,3.61
0.2,4.31
0.2,4.31
0.17,3.61
0.17,3.61
0.17,3.61
0.13,2.89
0.2,4.31
0.17,3.61
0.17,3.61
0.2,4.31
0.17,3.61
0.13,2.89
0.13,2.89
0.13,2.89
0.1,2.18
0.48,9.8
0.44,9.13
0.1,2.18
0.13,2.89
0.13,2.89
0.1,2.18
0.1,2.18
0.1,2.18
0.23,5.01
0.3,6.4
0.34,7.09
0.34,7.09
0.3,6.4
0.3,6.4
0.3,6.4
0.3,6.4
0.27,5.71
0.34,7.09
0.34,7.09
0.34,7.09
0.3,6.4
1.08,19.84
1.04,19.25
1.08,19.84
1.2,21.59
1.16,21.01
1.12,20.43
1.08,19.84
1.04,19.25
2.04,31.66
2.18,33.1
2.14,32.62
2.04,31.66
2.04,31.66
1.9,30.19
1.9,30.19
2.14,32.62
3.18,41.17
3.07,40.4
2.95,39.61
2.85,38.81
2.74,37.98
0.34,7.09
6.16,53.08
5.99,52.72
5.75,52.15
5.51,51.53
5.35,51.1
5.67,51.95
8.06,55.6
7.65,55.25
7.35,54.94
7.15,54.7
6.87,54.32
8.17,55.68
10.2,56.24
9.81,56.24
9.44,56.2
9.07,56.12
5.59,51.74
10.07,56.25
9.69,56.24
12.26,55.67
11.63,55.93
11.18,56.08
10.75,56.18
10.34,56.23
9.94,56.25
11.18,56.08
14,54.69
13.63,54.93
13.09,55.24
12.58,55.51
10.34,56.23
13.45,55.04
12.92,55.34
14.77,54.16
6.08,52.9
0.34,7.09
0.3,6.4
0.3,6.4
0.3,6.4
0.3,6.4
0.3,6.4
0.27,5.71
12.58,55.51
15.81,53.4
15.18,53.87
14.77,54.16
14.38,54.44
13.81,54.81
13.27,55.14
14.77,54.16
14.18,54.57
17.18,52.32
17.18,52.32
16.71,52.7
18.18,51.51
17.67,51.92
17.18,52.32
16.71,52.7
12.75,55.43
12.26,55.67
15.38,53.72
15.18,53.87
14.77,54.16
14.77,54.16
14.18,54.57
19.54,50.38
18.98,50.85
18.44,51.29
18.18,51.51
19.83,50.15
22,48.34
15.6,53.56
23.39,47.2
24.52,46.3
24.14,46.6
23.39,47.2
24.52,46.3
24.14,46.6
23.76,46.9
21.35,48.88
28.41,43.33
29.4,42.61
28.9,42.97
24.91,45.99
29.4,42.61
28.9,42.97
28.41,43.33
27.94,43.68
28.9,42.97
27.94,43.68
27.94,43.68
27.47,44.02
29.4,42.61
30.97,41.51
30.97,41.51
29.91,42.25
29.91,42.25
33.91,39.57
33.29,39.97
32.68,40.36
32.1,40.75
31.53,41.13
31.53,41.13
30.97,41.51
30.43,41.88
29.91,42.25
29.4,42.61
16.25,53.06
17.93,51.72
15.81,53.4
11.78,55.87
11.48,55.98
6.25,53.25
6.16,53.08
6.08,52.9
0.3,6.4
0.3,6.4
0.34,7.09
0.3,6.4
0.34,7.09
