Temp,Resistance
296.15,0.329
296.15,0.438
296.15,0.232
296.15,0.345
296.15,0.462
296.15,0.150
296.15,0.073
296.15,0.299
296.15,0.272
296.15,0.244
296.15,0.233
296.15,0.256
296.15,0.200
296.15,0.336
296.15,0.159
296.15,0.336
296.15,0.193
296.15,0.129
296.15,0.174
296.15,0.156
296.15,0.146
296.15,0.189
296.15,0.139
296.15,0.156
296.15,0.114
296.15,0.122
296.15,0.368
296.15,0.387
296.15,0.048
296.15,0.034
296.15,0.195
296.15,0.197
296.15,0.185
296.15,0.149
296.15,0.057
296.15,0.290
296.15,0.299
296.15,0.458
296.15,0.198
296.15,0.327
296.15,0.420
296.15,0.130
296.15,0.450
296.15,0.368
296.15,0.429
296.15,0.243
296.15,0.135
296.15,0.487
296.15,0.220
296.15,0.129
296.15,0.242
296.15,0.265
296.15,0.207
296.15,0.242
296.15,0.263
296.15,0.267
296.15,0.466
296.15,0.386
296.15,0.188
296.15,0.232
296.15,0.348
296.15,0.473
296.15,0.488
296.15,0.344
296.15,0.089
296.15,0.328
296.15,0.488
296.15,0.440
296.15,0.354
296.15,0.333
296.15,0.487
296.15,0.463
296.15,0.157
296.15,0.231
296.15,0.466
296.15,0.171
296.15,0.166
296.15,0.173
296.15,0.245
296.15,0.231
296.15,0.255
296.15,0.361
296.15,0.236
296.15,0.463
296.15,0.026
296.15,0.053
296.15,0.096
296.15,0.168
296.15,0.412
296.15,0.355
296.15,0.261
296.15,0.411
296.15,0.485
296.15,0.485
296.15,0.327
296.15,0.333
296.15,0.476
296.15,0.435
296.15,0.028
296.15,0.057
296.15,0.387
296.15,0.383
296.15,0.059
296.15,0.161
296.15,0.245
296.15,0.278
296.15,0.305
296.15,0.268
296.15,0.286
296.15,0.283
296.15,0.235
296.15,0.064
296.15,0.099
296.15,0.215
296.15,0.207
296.15,0.261
296.15,0.299
296.15,0.208
296.15,0.175
296.15,0.039
296.15,0.268
296.15,0.325
296.15,0.226
296.15,0.489
296.15,0.460
296.15,0.062
296.15,0.040
296.15,0.071
296.15,0.165
296.15,0.045
296.15,0.075
296.15,0.065
296.15,0.104
296.15,0.053
296.15,0.036
296.15,0.065
296.15,0.089
296.15,0.067
296.15,0.083
296.15,0.151
296.15,0.081
296.15,0.069
296.15,0.335
296.15,0.110
296.15,0.105
296.15,0.189
296.15,0.212
296.15,0.221
296.15,0.121
296.15,0.157
296.15,0.102
296.15,0.145
297.15,0.233
297.15,0.222
297.15,0.228
297.15,0.150
299.15,0.155
299.15,0.132
299.15,0.180
299.15,0.237
302.15,0.184
302.15,0.226
302.15,0.131
302.15,0.119
304.15,0.210
304.15,0.171
304.15,0.232
304.15,0.176
305.15,0.108
305.15,0.121
305.15,0.111
305.15,0.207
307.15,0.218
307.15,0.231
307.15,0.177
307.15,0.101
309.15,0.144
309.15,0.108
309.15,0.196
309.15,0.218
311.15,0.128
311.15,0.170
311.15,0.112
314.15,0.224
314.15,0.236
314.15,0.206
315.15,0.101
315.15,0.163
315.15,0.102
316.15,0.192
316.15,0.149
316.15,0.245
317.15,0.206
317.15,0.252
317.15,0.162
318.15,0.123
318.15,0.108
318.15,0.156
320.15,0.246
320.15,0.233
320.15,0.244
321.15,0.164
321.15,0.226
321.15,0.135
322.15,0.171
322.15,0.132
322.15,0.228
323.15,0.247
323.15,0.276
323.15,0.241
324.15,0.130
324.15,0.157
324.15,0.128
325.15,0.173
325.15,0.131
325.15,0.253
326.15,0.224
326.15,0.265
326.15,0.183
327.15,0.128
327.15,0.132
327.15,0.255
328.15,0.229
328.15,0.252
328.15,0.190
329.15,0.132
329.15,0.134
329.15,0.151
330.15,0.237
330.15,0.191
330.15,0.222
331.15,0.159
331.15,0.227
331.15,0.125
331.15,0.123
331.15,0.108
331.15,0.214
332.15,0.403
332.15,0.405
333.15,0.385
333.15,0.387
333.15,0.282
332.15,0.325
332.15,0.276
332.15,0.289
332.15,0.428
332.15,0.364
332.15,0.434
332.15,0.235
332.15,0.401
332.15,0.288
332.15,0.212
332.15,0.080
332.15,0.422
332.15,0.390
332.15,0.343
332.15,0.330
332.15,0.388
332.15,0.359
332.15,0.264
332.15,0.246
332.15,0.233
332.15,0.314
332.15,0.419
332.15,0.388
332.15,0.450
332.15,0.246
332.15,0.252
332.15,0.421
332.15,0.300
332.15,0.288
332.15,0.187
332.15,0.273
332.15,0.306
332.15,0.387
332.15,0.409
332.15,0.380
332.15,0.371
332.15,0.299
332.15,0.272
332.15,0.255
332.15,0.401
332.15,0.275
332.15,0.444
332.15,0.351
332.15,0.414
332.15,0.251
332.15,0.318
332.15,0.360
332.15,0.437
332.15,0.479
332.15,0.492
332.15,0.358
332.15,0.352
332.15,0.417
332.15,0.332
332.15,0.417
332.15,0.409
332.15,0.370
332.15,0.455
332.15,0.350
332.15,0.205
332.15,0.373
332.15,0.038
332.15,0.113
332.15,0.196
332.15,0.163
332.15,0.407
332.15,0.454
332.15,0.427
332.15,0.363
332.15,0.500
332.15,0.377
332.15,0.429
332.15,0.493
332.15,0.493
332.15,0.412
332.15,0.234
332.15,0.298
332.15,0.252
332.15,0.427
332.15,0.302
332.15,0.500
332.15,0.305
332.15,0.398
332.15,0.165
332.15,0.163
332.15,0.128
332.15,0.260
332.15,0.398
332.15,0.407
332.15,0.228
332.15,0.193
332.15,0.172
332.15,0.300
332.15,0.500
332.15,0.491
332.15,0.453
332.15,0.136
332.15,0.301
332.15,0.193
332.15,0.415
332.15,0.398
332.15,0.482
332.15,0.371
332.15,0.307
332.15,0.232
332.15,0.414
332.15,0.434
332.15,0.488
332.15,0.487
332.15,0.490
332.15,0.449
332.15,0.024
332.15,0.024
332.15,0.030
332.15,0.054
332.15,0.043
332.15,0.085
332.15,0.059
332.15,0.087
332.15,0.026
332.15,0.029
332.15,0.029
332.15,0.086
332.15,0.121
332.15,0.140
332.15,0.199
332.15,0.181
332.15,0.111
332.15,0.325
332.15,0.452
332.15,0.485
332.15,0.469
332.15,0.438
332.15,0.441
332.15,0.448
332.15,0.477
332.15,0.467
332.15,0.479
332.15,0.464
332.15,0.474
332.15,0.456
332.15,0.253
332.15,0.339
332.15,0.467
332.15,0.483
332.15,0.465
332.15,0.425
332.15,0.335
332.15,0.296
332.15,0.054
332.15,0.345
332.15,0.194
332.15,0.036
332.15,0.315
332.15,0.038
332.15,0.456
332.15,0.254
332.15,0.147
332.15,0.044
332.15,0.087
332.15,0.141
332.15,0.237
332.15,0.208
332.15,0.278
332.15,0.026
332.15,0.030
332.15,0.040
333.15,0.105
333.15,0.029
333.15,0.053
332.15,0.072
332.15,0.074
332.15,0.046
332.15,0.027
332.15,0.272
332.15,0.430
332.15,0.156
332.15,0.157
332.15,0.142
332.15,0.154
332.15,0.371
332.15,0.103
331.15,0.140
331.15,0.212
331.15,0.213
331.15,0.423
331.15,0.058
331.15,0.034
331.15,0.024
331.15,0.157
331.15,0.028
331.15,0.141
331.15,0.489
331.15,0.087
331.15,0.075
331.15,0.489
331.15,0.022
330.15,0.025
330.15,0.023
330.15,0.030
330.15,0.065
330.15,0.219
330.15,0.070
330.15,0.056
330.15,0.117
330.15,0.066
330.15,0.087
330.15,0.055
330.15,0.460
329.15,0.103
329.15,0.042
329.15,0.445
329.15,0.038
329.15,0.161
329.15,0.103
329.15,0.068
329.15,0.030
329.15,0.053
328.15,0.078
328.15,0.081
328.15,0.107
328.15,0.078
328.15,0.111
328.15,0.037
328.15,0.052
328.15,0.060
328.15,0.107
328.15,0.123
328.15,0.135
328.15,0.115
328.15,0.119
328.15,0.107
328.15,0.083
327.15,0.118
327.15,0.140
327.15,0.140
327.15,0.124
327.15,0.144
327.15,0.125
327.15,0.144
327.15,0.135
327.15,0.163
327.15,0.171
327.15,0.184
327.15,0.169
326.15,0.142
326.15,0.155
326.15,0.150
326.15,0.337
326.15,0.414
326.15,0.461
326.15,0.470
326.15,0.123
326.15,0.224
326.15,0.062
326.15,0.142
326.15,0.168
325.15,0.141
325.15,0.180
325.15,0.173
325.15,0.162
325.15,0.184
325.15,0.155
325.15,0.134
325.15,0.153
325.15,0.193
325.15,0.208
325.15,0.333
325.15,0.211
324.15,0.374
324.15,0.117
324.15,0.270
324.15,0.145
324.15,0.137
324.15,0.144
324.15,0.173
324.15,0.193
324.15,0.174
324.15,0.239
324.15,0.256
324.15,0.249
323.15,0.386
323.15,0.339
323.15,0.425
323.15,0.038
323.15,0.039
323.15,0.431
323.15,0.098
323.15,0.151
323.15,0.190
323.15,0.130
323.15,0.107
323.15,0.245
322.15,0.191
322.15,0.293
322.15,0.414
322.15,0.338
322.15,0.322
322.15,0.262
322.15,0.249
322.15,0.175
322.15,0.217
322.15,0.202
322.15,0.234
322.15,0.165
322.15,0.148
322.15,0.148
322.15,0.193
321.15,0.147
321.15,0.180
321.15,0.139
321.15,0.140
321.15,0.121
321.15,0.115
321.15,0.186
321.15,0.152
321.15,0.146
321.15,0.225
321.15,0.225
321.15,0.029
321.15,0.130
321.15,0.238
321.15,0.089
320.15,0.189
320.15,0.485
320.15,0.420
320.15,0.343
320.15,0.370
320.15,0.380
320.15,0.408
320.15,0.413
320.15,0.418
320.15,0.340
320.15,0.308
320.15,0.229
320.15,0.189
